"Code","CCG_code","CCG","items","quantity","actual_cost","BNF_chapter","BNF Chapter Code","BNF_section","item_label","Year","label"
"0602","09X","NHS Horsham And Mid Sussex CCG",126785,6681859,448467.21622,"Endocrine System","06","Thyroid And Antithyroid Drugs","Thyroid And Antithyroid Drugs
126,785","2018","Endocrine System.Thyroid And Antithyroid Drugs"
"0603","09G","NHS Coastal West Sussex CCG",101078,5728827,638759.31328,"Endocrine System","06","Corticosteroids (Endocrine)","Corticosteroids (Endocrine)
101,078","2018","Endocrine System.Corticosteroids (Endocrine)"
"0603","09H","NHS Crawley CCG",15846,813099,115063.06466,"Endocrine System","06","Corticosteroids (Endocrine)","Corticosteroids (Endocrine)
15,846","2018","Endocrine System.Corticosteroids (Endocrine)"
"0603","09X","NHS Horsham And Mid Sussex CCG",27878,1755487,240696.90376,"Endocrine System","06","Corticosteroids (Endocrine)","Corticosteroids (Endocrine)
27,878","2018","Endocrine System.Corticosteroids (Endocrine)"
"0604","09G","NHS Coastal West Sussex CCG",83507,4167855,917261.72264,"Endocrine System","06","Sex Hormones","Sex Hormones
83,507","2018","Endocrine System.Sex Hormones"
"0604","09H","NHS Crawley CCG",14155,734111,175694.02059,"Endocrine System","06","Sex Hormones","Sex Hormones
14,155","2018","Endocrine System.Sex Hormones"
"0604","09X","NHS Horsham And Mid Sussex CCG",31617,1705935,403770.18977,"Endocrine System","06","Sex Hormones","Sex Hormones
31,617","2018","Endocrine System.Sex Hormones"
"0605","09G","NHS Coastal West Sussex CCG",3398,164799,382151.38759,"Endocrine System","06","Hypothalamic&Pituitary Hormones&Antioest","Hypothalamic&Pituitary Hormones&Antioest
3,398","2018","Endocrine System.Hypothalamic&Pituitary Hormones&Antioest"
"0605","09H","NHS Crawley CCG",733,37986,77343.23763,"Endocrine System","06","Hypothalamic&Pituitary Hormones&Antioest","Hypothalamic&Pituitary Hormones&Antioest
733","2018","Endocrine System.Hypothalamic&Pituitary Hormones&Antioest"
"0605","09X","NHS Horsham And Mid Sussex CCG",1483,76587,214834.54618,"Endocrine System","06","Hypothalamic&Pituitary Hormones&Antioest","Hypothalamic&Pituitary Hormones&Antioest
1,483","2018","Endocrine System.Hypothalamic&Pituitary Hormones&Antioest"
"0606","09G","NHS Coastal West Sussex CCG",70409,355273,372605.97707,"Endocrine System","06","Drugs Affecting Bone Metabolism","Drugs Affecting Bone Metabolism
70,409","2018","Endocrine System.Drugs Affecting Bone Metabolism"
"0606","09H","NHS Crawley CCG",16331,78307,67582.64679,"Endocrine System","06","Drugs Affecting Bone Metabolism","Drugs Affecting Bone Metabolism
16,331","2018","Endocrine System.Drugs Affecting Bone Metabolism"
"0606","09X","NHS Horsham And Mid Sussex CCG",26352,152220,241221.8016,"Endocrine System","06","Drugs Affecting Bone Metabolism","Drugs Affecting Bone Metabolism
26,352","2018","Endocrine System.Drugs Affecting Bone Metabolism"
"0607","09G","NHS Coastal West Sussex CCG",665,14151,40399.62306,"Endocrine System","06","Other Endocrine Drugs","Other Endocrine Drugs
665","2018","Endocrine System.Other Endocrine Drugs"
"0607","09H","NHS Crawley CCG",184,4597,13438.75359,"Endocrine System","06","Other Endocrine Drugs","Other Endocrine Drugs
184","2018","Endocrine System.Other Endocrine Drugs"
"0607","09X","NHS Horsham And Mid Sussex CCG",347,11729,34967.87729,"Endocrine System","06","Other Endocrine Drugs","Other Endocrine Drugs
347","2018","Endocrine System.Other Endocrine Drugs"
"0702","09G","NHS Coastal West Sussex CCG",32921,954626,430287.87313,"Obstetrics,Gynae and Urinary Tract Disorders","07","Treatment Of Vaginal & Vulval Conditions","Treatment Of Vaginal & Vulval Conditions
32,921","2018","Obstetrics,Gynae+Urinary Tract Disorders.Treatment Of Vaginal & Vulval Conditions"
"0702","09H","NHS Crawley CCG",4292,101533,50468.63772,"Obstetrics,Gynae and Urinary Tract Disorders","07","Treatment Of Vaginal & Vulval Conditions","Treatment Of Vaginal & Vulval Conditions
4,292","2018","Obstetrics,Gynae+Urinary Tract Disorders.Treatment Of Vaginal & Vulval Conditions"
"0702","09X","NHS Horsham And Mid Sussex CCG",9521,276537,133018.32296,"Obstetrics,Gynae and Urinary Tract Disorders","07","Treatment Of Vaginal & Vulval Conditions","Treatment Of Vaginal & Vulval Conditions
9,521","2018","Obstetrics,Gynae+Urinary Tract Disorders.Treatment Of Vaginal & Vulval Conditions"
"0703","09G","NHS Coastal West Sussex CCG",73310,6780436,788906.41189,"Obstetrics,Gynae and Urinary Tract Disorders","07","Contraceptives","Contraceptives
73,310","2018","Obstetrics,Gynae+Urinary Tract Disorders.Contraceptives"
"0703","09H","NHS Crawley CCG",20323,1827977,199540.93643,"Obstetrics,Gynae and Urinary Tract Disorders","07","Contraceptives","Contraceptives
20,323","2018","Obstetrics,Gynae+Urinary Tract Disorders.Contraceptives"
"0703","09X","NHS Horsham And Mid Sussex CCG",35564,3345255,357842.64234,"Obstetrics,Gynae and Urinary Tract Disorders","07","Contraceptives","Contraceptives
35,564","2018","Obstetrics,Gynae+Urinary Tract Disorders.Contraceptives"
"0704","09G","NHS Coastal West Sussex CCG",201193,6372375,2480351.43224,"Obstetrics,Gynae and Urinary Tract Disorders","07","Drugs For Genito-Urinary Disorders","Drugs For Genito-Urinary Disorders
201,193","2018","Obstetrics,Gynae+Urinary Tract Disorders.Drugs For Genito-Urinary Disorders"
"0704","09H","NHS Crawley CCG",39190,1130647,540380.46753,"Obstetrics,Gynae and Urinary Tract Disorders","07","Drugs For Genito-Urinary Disorders","Drugs For Genito-Urinary Disorders
39,190","2018","Obstetrics,Gynae+Urinary Tract Disorders.Drugs For Genito-Urinary Disorders"
"0704","09X","NHS Horsham And Mid Sussex CCG",61978,2474219,925304.21166,"Obstetrics,Gynae and Urinary Tract Disorders","07","Drugs For Genito-Urinary Disorders","Drugs For Genito-Urinary Disorders
61,978","2018","Obstetrics,Gynae+Urinary Tract Disorders.Drugs For Genito-Urinary Disorders"
"0801","09G","NHS Coastal West Sussex CCG",734,29617,42931.17805,"Malignant Disease and Immunosuppression","08","Cytotoxic Drugs","Cytotoxic Drugs
734","2018","Malignant Disease & Immunosuppression.Cytotoxic Drugs"
"0801","09H","NHS Crawley CCG",313,14658,10767.66135,"Malignant Disease and Immunosuppression","08","Cytotoxic Drugs","Cytotoxic Drugs
313","2018","Malignant Disease & Immunosuppression.Cytotoxic Drugs"
"0801","09X","NHS Horsham And Mid Sussex CCG",507,24721,30548.60838,"Malignant Disease and Immunosuppression","08","Cytotoxic Drugs","Cytotoxic Drugs
507","2018","Malignant Disease & Immunosuppression.Cytotoxic Drugs"
"0802","09G","NHS Coastal West Sussex CCG",9103,661282,195906.88278,"Malignant Disease and Immunosuppression","08","Drugs Affecting The Immune Response","Drugs Affecting The Immune Response
9,103","2018","Malignant Disease & Immunosuppression.Drugs Affecting The Immune Response"
"0802","09H","NHS Crawley CCG",3148,217889,72158.37777,"Malignant Disease and Immunosuppression","08","Drugs Affecting The Immune Response","Drugs Affecting The Immune Response
3,148","2018","Malignant Disease & Immunosuppression.Drugs Affecting The Immune Response"
"0802","09X","NHS Horsham And Mid Sussex CCG",5159,435568,116444.38306,"Malignant Disease and Immunosuppression","08","Drugs Affecting The Immune Response","Drugs Affecting The Immune Response
5,159","2018","Malignant Disease & Immunosuppression.Drugs Affecting The Immune Response"
"0803","09G","NHS Coastal West Sussex CCG",38186,1076568,1744886.5629,"Malignant Disease and Immunosuppression","08","Sex Hormones & Antag In Malig Disease","Sex Hormones & Antag In Malig Disease
38,186","2018","Malignant Disease & Immunosuppression.Sex Hormones & Antag In Malig Disease"
"0803","09H","NHS Crawley CCG",6582,198511,194298.7152,"Malignant Disease and Immunosuppression","08","Sex Hormones & Antag In Malig Disease","Sex Hormones & Antag In Malig Disease
6,582","2018","Malignant Disease & Immunosuppression.Sex Hormones & Antag In Malig Disease"
"0803","09X","NHS Horsham And Mid Sussex CCG",12877,461608,593053.31743,"Malignant Disease and Immunosuppression","08","Sex Hormones & Antag In Malig Disease","Sex Hormones & Antag In Malig Disease
12,877","2018","Malignant Disease & Immunosuppression.Sex Hormones & Antag In Malig Disease"
"0901","09G","NHS Coastal West Sussex CCG",160165,5915816,279184.29061,"Nutrition and Blood","09","Anaemias + Other Blood Disorders","Anaemias + Other Blood Disorders
160,165","2018","Nutrition And Blood.Anaemias + Other Blood Disorders"
"0901","09H","NHS Crawley CCG",53749,2382858,131590.92423,"Nutrition and Blood","09","Anaemias + Other Blood Disorders","Anaemias + Other Blood Disorders
53,749","2018","Nutrition And Blood.Anaemias + Other Blood Disorders"
"0901","09X","NHS Horsham And Mid Sussex CCG",52902,2572305,118295.46902,"Nutrition and Blood","09","Anaemias + Other Blood Disorders","Anaemias + Other Blood Disorders
52,902","2018","Nutrition And Blood.Anaemias + Other Blood Disorders"
"0902","09G","NHS Coastal West Sussex CCG",7880,997969,68865.68142,"Nutrition and Blood","09","Fluids And Electrolytes","Fluids And Electrolytes
7,880","2018","Nutrition And Blood.Fluids And Electrolytes"
"0902","09H","NHS Crawley CCG",2180,153359,19223.27835,"Nutrition and Blood","09","Fluids And Electrolytes","Fluids And Electrolytes
2,180","2018","Nutrition And Blood.Fluids And Electrolytes"
"0902","09X","NHS Horsham And Mid Sussex CCG",2826,605561,43489.12646,"Nutrition and Blood","09","Fluids And Electrolytes","Fluids And Electrolytes
2,826","2018","Nutrition And Blood.Fluids And Electrolytes"
"0904","09G","NHS Coastal West Sussex CCG",56558,199666999,3086665.56185,"Nutrition and Blood","09","Oral Nutrition","Oral Nutrition
56,558","2018","Nutrition And Blood.Oral Nutrition"
"0904","09H","NHS Crawley CCG",13315,64299312,872995.73009,"Nutrition and Blood","09","Oral Nutrition","Oral Nutrition
13,315","2018","Nutrition And Blood.Oral Nutrition"
"0904","09X","NHS Horsham And Mid Sussex CCG",23726,105091616,1496456.97214,"Nutrition and Blood","09","Oral Nutrition","Oral Nutrition
23,726","2018","Nutrition And Blood.Oral Nutrition"
"0905","09G","NHS Coastal West Sussex CCG",6423,557339,246982.23927,"Nutrition and Blood","09","Minerals","Minerals
6,423","2018","Nutrition And Blood.Minerals"
"0905","09H","NHS Crawley CCG",1543,114349,43747.72466,"Nutrition and Blood","09","Minerals","Minerals
1,543","2018","Nutrition And Blood.Minerals"
"0905","09X","NHS Horsham And Mid Sussex CCG",2017,197776,63625.00346,"Nutrition and Blood","09","Minerals","Minerals
2,017","2018","Nutrition And Blood.Minerals"
"0906","09G","NHS Coastal West Sussex CCG",272256,14827014,1414802.7127,"Nutrition and Blood","09","Vitamins","Vitamins
272,256","2018","Nutrition And Blood.Vitamins"
"0906","09H","NHS Crawley CCG",63281,3219595,358978.08684,"Nutrition and Blood","09","Vitamins","Vitamins
63,281","2018","Nutrition And Blood.Vitamins"
"0906","09X","NHS Horsham And Mid Sussex CCG",93623,6276178,566046.23417,"Nutrition and Blood","09","Vitamins","Vitamins
93,623","2018","Nutrition And Blood.Vitamins"
"0908","09G","NHS Coastal West Sussex CCG",58,5344,9474.14365,"Nutrition and Blood","09","Metabolic Disorders","Metabolic Disorders
58","2018","Nutrition And Blood.Metabolic Disorders"
"0908","09H","NHS Crawley CCG",6,1016,23573.25015,"Nutrition and Blood","09","Metabolic Disorders","Metabolic Disorders
6","2018","Nutrition And Blood.Metabolic Disorders"
"0908","09X","NHS Horsham And Mid Sussex CCG",65,23360,47480.25348,"Nutrition and Blood","09","Metabolic Disorders","Metabolic Disorders
65","2018","Nutrition And Blood.Metabolic Disorders"
"0909","09G","NHS Coastal West Sussex CCG",1355,4100880,81514.47637,"Nutrition and Blood","09","Foods","Foods
1,355","2018","Nutrition And Blood.Foods"
"0909","09H","NHS Crawley CCG",121,377800,5174.42207,"Nutrition and Blood","09","Foods","Foods
121","2018","Nutrition And Blood.Foods"
"0909","09X","NHS Horsham And Mid Sussex CCG",479,1252503,19174.07573,"Nutrition and Blood","09","Foods","Foods
479","2018","Nutrition And Blood.Foods"
"0910","09G","NHS Coastal West Sussex CCG",3398,124089,16967.74521,"Nutrition and Blood","09","Compound Vit/Mineral Formulations","Compound Vit/Mineral Formulations
3,398","2018","Nutrition And Blood.Compound Vit/Mineral Formulations"
"0910","09H","NHS Crawley CCG",670,26096,4755.04222,"Nutrition and Blood","09","Compound Vit/Mineral Formulations","Compound Vit/Mineral Formulations
670","2018","Nutrition And Blood.Compound Vit/Mineral Formulations"
"0910","09X","NHS Horsham And Mid Sussex CCG",709,34219,4030.55978,"Nutrition and Blood","09","Compound Vit/Mineral Formulations","Compound Vit/Mineral Formulations
709","2018","Nutrition And Blood.Compound Vit/Mineral Formulations"
"0911","09G","NHS Coastal West Sussex CCG",528,50048,25665.86853,"Nutrition and Blood","09","Health Supplements","Health Supplements
528","2018","Nutrition And Blood.Health Supplements"
"0911","09H","NHS Crawley CCG",122,5354,4047.94205,"Nutrition and Blood","09","Health Supplements","Health Supplements
122","2018","Nutrition And Blood.Health Supplements"
"0911","09X","NHS Horsham And Mid Sussex CCG",211,16643,8312.34459,"Nutrition and Blood","09","Health Supplements","Health Supplements
211","2018","Nutrition And Blood.Health Supplements"
"0912","09G","NHS Coastal West Sussex CCG",127,8993,641.0664,"Nutrition and Blood","09","Other Health Supplements","Other Health Supplements
127","2018","Nutrition And Blood.Other Health Supplements"
"0912","09H","NHS Crawley CCG",29,1560,154.45551,"Nutrition and Blood","09","Other Health Supplements","Other Health Supplements
29","2018","Nutrition And Blood.Other Health Supplements"
"0912","09X","NHS Horsham And Mid Sussex CCG",23,4780,198.9851,"Nutrition and Blood","09","Other Health Supplements","Other Health Supplements
23","2018","Nutrition And Blood.Other Health Supplements"
"1001","09G","NHS Coastal West Sussex CCG",208734,10322071,882046.57024,"Musculoskeletal and Joint Diseases","10","Drugs Used In Rheumatic Diseases & Gout","Drugs Used In Rheumatic Diseases & Gout
208,734","2018","Musculoskeletal & Joint Diseases.Drugs Used In Rheumatic Diseases & Gout"
"1001","09H","NHS Crawley CCG",41090,1905900,201470.12609,"Musculoskeletal and Joint Diseases","10","Drugs Used In Rheumatic Diseases & Gout","Drugs Used In Rheumatic Diseases & Gout
41,090","2018","Musculoskeletal & Joint Diseases.Drugs Used In Rheumatic Diseases & Gout"
"1001","09X","NHS Horsham And Mid Sussex CCG",64710,3524693,342840.77505,"Musculoskeletal and Joint Diseases","10","Drugs Used In Rheumatic Diseases & Gout","Drugs Used In Rheumatic Diseases & Gout
64,710","2018","Musculoskeletal & Joint Diseases.Drugs Used In Rheumatic Diseases & Gout"
"1002","09G","NHS Coastal West Sussex CCG",10794,2078973,73104.19921,"Musculoskeletal and Joint Diseases","10","Drugs Used In Neuromuscular  Disorders","Drugs Used In Neuromuscular  Disorders
10,794","2018","Musculoskeletal & Joint Diseases.Drugs Used In Neuromuscular  Disorders"
"1002","09H","NHS Crawley CCG",3188,435835,24669.21188,"Musculoskeletal and Joint Diseases","10","Drugs Used In Neuromuscular  Disorders","Drugs Used In Neuromuscular  Disorders
3,188","2018","Musculoskeletal & Joint Diseases.Drugs Used In Neuromuscular  Disorders"
"1002","09X","NHS Horsham And Mid Sussex CCG",4611,1496170,36486.98419,"Musculoskeletal and Joint Diseases","10","Drugs Used In Neuromuscular  Disorders","Drugs Used In Neuromuscular  Disorders
4,611","2018","Musculoskeletal & Joint Diseases.Drugs Used In Neuromuscular  Disorders"
"1003","09G","NHS Coastal West Sussex CCG",49336,5066368,242276.71187,"Musculoskeletal and Joint Diseases","10","Soft-Tissue Disorders & Topical Pain Rel","Soft-Tissue Disorders & Topical Pain Rel
49,336","2018","Musculoskeletal & Joint Diseases.Soft-Tissue Disorders & Topical Pain Rel"
"1003","09H","NHS Crawley CCG",17305,1893093,104970.30878,"Musculoskeletal and Joint Diseases","10","Soft-Tissue Disorders & Topical Pain Rel","Soft-Tissue Disorders & Topical Pain Rel
17,305","2018","Musculoskeletal & Joint Diseases.Soft-Tissue Disorders & Topical Pain Rel"
"1003","09X","NHS Horsham And Mid Sussex CCG",15392,1546385,81238.60596,"Musculoskeletal and Joint Diseases","10","Soft-Tissue Disorders & Topical Pain Rel","Soft-Tissue Disorders & Topical Pain Rel
15,392","2018","Musculoskeletal & Joint Diseases.Soft-Tissue Disorders & Topical Pain Rel"
"1103","09G","NHS Coastal West Sussex CCG",14782,117945,84106.46197,"Eye","11","Anti-Infective Eye Preparations","Anti-Infective Eye Preparations
14,782","2018","Eye.Anti-Infective Eye Preparations"
"1103","09H","NHS Crawley CCG",3277,26634,17002.7978,"Eye","11","Anti-Infective Eye Preparations","Anti-Infective Eye Preparations
3,277","2018","Eye.Anti-Infective Eye Preparations"
"1103","09X","NHS Horsham And Mid Sussex CCG",5896,46847,25891.54189,"Eye","11","Anti-Infective Eye Preparations","Anti-Infective Eye Preparations
5,896","2018","Eye.Anti-Infective Eye Preparations"
"1104","09G","NHS Coastal West Sussex CCG",17416,234150,130567.97817,"Eye","11","Corti'roids & Other Anti-Inflamm.Preps.","Corti'roids & Other Anti-Inflamm.Preps.
17,416","2018","Eye.Corti'roids & Other Anti-Inflamm.Preps."
"1104","09H","NHS Crawley CCG",5681,76445,47242.9103,"Eye","11","Corti'roids & Other Anti-Inflamm.Preps.","Corti'roids & Other Anti-Inflamm.Preps.
5,681","2018","Eye.Corti'roids & Other Anti-Inflamm.Preps."
"1104","09X","NHS Horsham And Mid Sussex CCG",8033,105294,69773.59632,"Eye","11","Corti'roids & Other Anti-Inflamm.Preps.","Corti'roids & Other Anti-Inflamm.Preps.
8,033","2018","Eye.Corti'roids & Other Anti-Inflamm.Preps."
"1105","09G","NHS Coastal West Sussex CCG",511,7697,34848.82314,"Eye","11","Mydriatics And Cycloplegics","Mydriatics And Cycloplegics
511","2018","Eye.Mydriatics And Cycloplegics"
"1105","09H","NHS Crawley CCG",123,1792,11554.21145,"Eye","11","Mydriatics And Cycloplegics","Mydriatics And Cycloplegics
123","2018","Eye.Mydriatics And Cycloplegics"
"1105","09X","NHS Horsham And Mid Sussex CCG",333,8724,21952.19437,"Eye","11","Mydriatics And Cycloplegics","Mydriatics And Cycloplegics
333","2018","Eye.Mydriatics And Cycloplegics"
"1106","09G","NHS Coastal West Sussex CCG",111334,1230324,1205940.30337,"Eye","11","Treatment Of Glaucoma","Treatment Of Glaucoma
111,334","2018","Eye.Treatment Of Glaucoma"
"1106","09H","NHS Crawley CCG",17185,151388,175825.04511,"Eye","11","Treatment Of Glaucoma","Treatment Of Glaucoma
17,185","2018","Eye.Treatment Of Glaucoma"
"1106","09X","NHS Horsham And Mid Sussex CCG",38055,410932,444132.2333,"Eye","11","Treatment Of Glaucoma","Treatment Of Glaucoma
38,055","2018","Eye.Treatment Of Glaucoma"
"1107","09G","NHS Coastal West Sussex CCG",1,1,0.47271,"Eye","11","Local Anaesthetics","Local Anaesthetics
1","2018","Eye.Local Anaesthetics"
"1107","09X","NHS Horsham And Mid Sussex CCG",1,1,0.47271,"Eye","11","Local Anaesthetics","Local Anaesthetics
1","2018","Eye.Local Anaesthetics"
"1108","09G","NHS Coastal West Sussex CCG",49637,1112535,229327.58534,"Eye","11","Miscellaneous Ophthalmic Preparations","Miscellaneous Ophthalmic Preparations
49,637","2018","Eye.Miscellaneous Ophthalmic Preparations"
"1108","09H","NHS Crawley CCG",9377,272964,49856.30708,"Eye","11","Miscellaneous Ophthalmic Preparations","Miscellaneous Ophthalmic Preparations
9,377","2018","Eye.Miscellaneous Ophthalmic Preparations"
"1108","09X","NHS Horsham And Mid Sussex CCG",13997,456700,87746.13014,"Eye","11","Miscellaneous Ophthalmic Preparations","Miscellaneous Ophthalmic Preparations
13,997","2018","Eye.Miscellaneous Ophthalmic Preparations"
"1201","09G","NHS Coastal West Sussex CCG",18019,46685,80845.91599,"Ear, Nose and Oropharynx","12","Drugs Acting On The Ear","Drugs Acting On The Ear
18,019","2018","Ear, Nose And Oropharynx.Drugs Acting On The Ear"
"1201","09H","NHS Crawley CCG",3880,9619,17515.45652,"Ear, Nose and Oropharynx","12","Drugs Acting On The Ear","Drugs Acting On The Ear
3,880","2018","Ear, Nose And Oropharynx.Drugs Acting On The Ear"
"1201","09X","NHS Horsham And Mid Sussex CCG",6752,18383,33832.16619,"Ear, Nose and Oropharynx","12","Drugs Acting On The Ear","Drugs Acting On The Ear
6,752","2018","Ear, Nose And Oropharynx.Drugs Acting On The Ear"
"1202","09G","NHS Coastal West Sussex CCG",68083,268147,411402.93331,"Ear, Nose and Oropharynx","12","Drugs Acting On The Nose","Drugs Acting On The Nose
68,083","2018","Ear, Nose And Oropharynx.Drugs Acting On The Nose"
"1202","09H","NHS Crawley CCG",19352,59846,101264.67679,"Ear, Nose and Oropharynx","12","Drugs Acting On The Nose","Drugs Acting On The Nose
19,352","2018","Ear, Nose And Oropharynx.Drugs Acting On The Nose"
"1202","09X","NHS Horsham And Mid Sussex CCG",32367,118632,192599.95101,"Ear, Nose and Oropharynx","12","Drugs Acting On The Nose","Drugs Acting On The Nose
32,367","2018","Ear, Nose And Oropharynx.Drugs Acting On The Nose"
"1203","09G","NHS Coastal West Sussex CCG",6794,1169121,45027.29623,"Ear, Nose and Oropharynx","12","Drugs Acting On The Oropharynx","Drugs Acting On The Oropharynx
6,794","2018","Ear, Nose And Oropharynx.Drugs Acting On The Oropharynx"
"1203","09H","NHS Crawley CCG",2028,336530,14221.22757,"Ear, Nose and Oropharynx","12","Drugs Acting On The Oropharynx","Drugs Acting On The Oropharynx
2,028","2018","Ear, Nose And Oropharynx.Drugs Acting On The Oropharynx"
"1203","09X","NHS Horsham And Mid Sussex CCG",2337,348133,15088.11137,"Ear, Nose and Oropharynx","12","Drugs Acting On The Oropharynx","Drugs Acting On The Oropharynx
2,337","2018","Ear, Nose And Oropharynx.Drugs Acting On The Oropharynx"
"1301","09G","NHS Coastal West Sussex CCG",50,24180,199.89548,"Skin","13","Management of Skin Conditions","Management of Skin Conditions
50","2018","Skin.Management of Skin Conditions"
"1301","09H","NHS Crawley CCG",80,88850,620.81371,"Skin","13","Management of Skin Conditions","Management of Skin Conditions
80","2018","Skin.Management of Skin Conditions"
"1301","09X","NHS Horsham And Mid Sussex CCG",41,33500,236.45557,"Skin","13","Management of Skin Conditions","Management of Skin Conditions
41","2018","Skin.Management of Skin Conditions"
"1302","09G","NHS Coastal West Sussex CCG",99744,48323588,630160.81556,"Skin","13","Emollient & Barrier Preparations","Emollient & Barrier Preparations
99,744","2018","Skin.Emollient & Barrier Preparations"
"1302","09H","NHS Crawley CCG",27574,13712083,189321.52501,"Skin","13","Emollient & Barrier Preparations","Emollient & Barrier Preparations
27,574","2018","Skin.Emollient & Barrier Preparations"
"1302","09X","NHS Horsham And Mid Sussex CCG",31064,14875955,204839.5572,"Skin","13","Emollient & Barrier Preparations","Emollient & Barrier Preparations
31,064","2018","Skin.Emollient & Barrier Preparations"
"1303","09G","NHS Coastal West Sussex CCG",2517,579305,20300.14618,"Skin","13","Top Local Anaesthetics & Antipruritics","Top Local Anaesthetics & Antipruritics
2,517","2018","Skin.Top Local Anaesthetics & Antipruritics"
"1303","09H","NHS Crawley CCG",544,149570,5041.45677,"Skin","13","Top Local Anaesthetics & Antipruritics","Top Local Anaesthetics & Antipruritics
544","2018","Skin.Top Local Anaesthetics & Antipruritics"
"1303","09X","NHS Horsham And Mid Sussex CCG",808,249555,8420.74169,"Skin","13","Top Local Anaesthetics & Antipruritics","Top Local Anaesthetics & Antipruritics
808","2018","Skin.Top Local Anaesthetics & Antipruritics"
"1304","09G","NHS Coastal West Sussex CCG",94449,4793726,415563.46591,"Skin","13","Topical Corticosteroids","Topical Corticosteroids
94,449","2018","Skin.Topical Corticosteroids"
"1304","09H","NHS Crawley CCG",24502,1214144,107840.70363,"Skin","13","Topical Corticosteroids","Topical Corticosteroids
24,502","2018","Skin.Topical Corticosteroids"
"1304","09X","NHS Horsham And Mid Sussex CCG",40310,2040420,168883.06262,"Skin","13","Topical Corticosteroids","Topical Corticosteroids
40,310","2018","Skin.Topical Corticosteroids"
"1305","09G","NHS Coastal West Sussex CCG",11516,1126258,442463.19783,"Skin","13","Preparations For Eczema And Psoriasis","Preparations For Eczema And Psoriasis
11,516","2018","Skin.Preparations For Eczema And Psoriasis"
"1305","09H","NHS Crawley CCG",3043,269863,132388.07047,"Skin","13","Preparations For Eczema And Psoriasis","Preparations For Eczema And Psoriasis
3,043","2018","Skin.Preparations For Eczema And Psoriasis"
"1305","09X","NHS Horsham And Mid Sussex CCG",4286,359293,167991.35092,"Skin","13","Preparations For Eczema And Psoriasis","Preparations For Eczema And Psoriasis
4,286","2018","Skin.Preparations For Eczema And Psoriasis"
"1306","09G","NHS Coastal West Sussex CCG",12873,587566,189448.64123,"Skin","13","Acne and Rosacea","Acne and Rosacea
12,873","2018","Skin.Acne and Rosacea"
"1306","09H","NHS Crawley CCG",3856,176884,54762.52327,"Skin","13","Acne and Rosacea","Acne and Rosacea
3,856","2018","Skin.Acne and Rosacea"
"1306","09X","NHS Horsham And Mid Sussex CCG",7032,306293,95826.33773,"Skin","13","Acne and Rosacea","Acne and Rosacea
7,032","2018","Skin.Acne and Rosacea"
"1307","09G","NHS Coastal West Sussex CCG",1025,11002,11449.46793,"Skin","13","Preparations For Warts And Calluses","Preparations For Warts And Calluses
1,025","2018","Skin.Preparations For Warts And Calluses"
"1307","09H","NHS Crawley CCG",552,4979,2453.06361,"Skin","13","Preparations For Warts And Calluses","Preparations For Warts And Calluses
552","2018","Skin.Preparations For Warts And Calluses"
"1307","09X","NHS Horsham And Mid Sussex CCG",535,5120,5966.48844,"Skin","13","Preparations For Warts And Calluses","Preparations For Warts And Calluses
535","2018","Skin.Preparations For Warts And Calluses"
"1308","09G","NHS Coastal West Sussex CCG",5893,371320,191071.52221,"Skin","13","Sunscreens And Camouflagers","Sunscreens And Camouflagers
5,893","2018","Skin.Sunscreens And Camouflagers"
"1308","09H","NHS Crawley CCG",707,54616,20610.03712,"Skin","13","Sunscreens And Camouflagers","Sunscreens And Camouflagers
707","2018","Skin.Sunscreens And Camouflagers"
"1308","09X","NHS Horsham And Mid Sussex CCG",1819,118009,58207.55722,"Skin","13","Sunscreens And Camouflagers","Sunscreens And Camouflagers
1,819","2018","Skin.Sunscreens And Camouflagers"
"1309","09G","NHS Coastal West Sussex CCG",10564,2229835,59998.86012,"Skin","13","Shampoo&Other Preps For Scalp&Hair Cond","Shampoo&Other Preps For Scalp&Hair Cond
10,564","2018","Skin.Shampoo&Other Preps For Scalp&Hair Cond"
"1309","09H","NHS Crawley CCG",3210,748065,17477.65867,"Skin","13","Shampoo&Other Preps For Scalp&Hair Cond","Shampoo&Other Preps For Scalp&Hair Cond
3,210","2018","Skin.Shampoo&Other Preps For Scalp&Hair Cond"
"1309","09X","NHS Horsham And Mid Sussex CCG",3062,567025,15040.82382,"Skin","13","Shampoo&Other Preps For Scalp&Hair Cond","Shampoo&Other Preps For Scalp&Hair Cond
3,062","2018","Skin.Shampoo&Other Preps For Scalp&Hair Cond"
"1310","09G","NHS Coastal West Sussex CCG",32865,879572,125418.18573,"Skin","13","Anti-Infective Skin Preparations","Anti-Infective Skin Preparations
32,865","2018","Skin.Anti-Infective Skin Preparations"
"1310","09H","NHS Crawley CCG",7519,203060,27547.53773,"Skin","13","Anti-Infective Skin Preparations","Anti-Infective Skin Preparations
7,519","2018","Skin.Anti-Infective Skin Preparations"
"1310","09X","NHS Horsham And Mid Sussex CCG",13351,345692,51242.08775,"Skin","13","Anti-Infective Skin Preparations","Anti-Infective Skin Preparations
13,351","2018","Skin.Anti-Infective Skin Preparations"
